iter	Passed	Remaining
0	117	117386
1	123	61500
2	128	42670
3	134	33515
4	139	27855
5	146	24269
6	151	21516
7	157	19536
8	162	17888
9	167	16549
10	172	15496
11	177	14628
12	183	13904
13	188	13287
14	193	12719
15	198	12235
16	204	11804
17	209	11416
18	215	11123
19	220	10781
20	223	10416
21	227	10098
22	229	9759
23	232	9447
24	234	9156
25	236	8864
26	238	8591
27	240	8347
28	242	8121
29	243	7888
30	245	7668
31	246	7461
32	248	7268
33	249	7086
34	250	6911
35	251	6745
36	253	6586
37	254	6436
38	256	6309
39	257	6172
40	258	6042
41	259	5915
42	260	5798
43	261	5686
44	263	5582
45	264	5476
46	265	5374
47	266	5278
48	267	5183
49	268	5094
50	269	5009
51	270	4926
52	271	4847
53	272	4773
54	273	4699
55	274	4628
56	275	4557
57	276	4489
58	277	4428
59	279	4374
60	280	4315
61	281	4256
62	282	4201
63	283	4147
64	284	4094
65	285	4042
66	286	3993
67	287	3944
68	288	3898
69	289	3852
70	290	3805
71	291	3760
72	293	3721
73	294	3683
74	295	3642
75	296	3603
76	297	3563
77	298	3525
78	299	3487
79	300	3451
80	301	3415
81	301	3380
82	302	3341
83	303	3308
84	304	3276
85	305	3245
86	306	3214
87	307	3184
88	308	3158
89	309	3130
90	310	3102
91	311	3074
92	312	3047
93	313	3020
94	314	2994
95	315	2968
96	316	2943
97	317	2918
98	318	2894
99	319	2871
100	319	2847
101	320	2825
102	321	2802
103	322	2781
104	324	2763
105	325	2743
106	326	2722
107	327	2701
108	328	2681
109	328	2661
110	329	2641
111	330	2622
112	331	2603
113	332	2585
114	333	2567
115	334	2548
116	335	2529
117	336	2512
118	337	2495
119	338	2479
120	339	2466
121	340	2449
122	341	2434
123	342	2417
124	343	2402
125	344	2387
126	344	2370
127	345	2356
128	346	2342
129	347	2328
130	348	2314
131	349	2300
132	350	2287
133	351	2274
134	353	2262
135	354	2251
136	355	2238
137	356	2226
138	357	2213
139	358	2200
140	359	2188
141	359	2174
142	360	2162
143	361	2150
144	362	2139
145	363	2128
146	364	2117
147	365	2105
148	366	2095
149	367	2084
150	369	2076
151	370	2066
152	371	2055
153	372	2045
154	373	2036
155	374	2028
156	376	2018
157	377	2010
158	378	2001
159	379	1992
160	380	1981
161	381	1973
162	382	1965
163	384	1959
164	385	1951
165	386	1942
166	387	1934
167	388	1925
168	389	1917
169	390	1908
170	391	1899
171	392	1890
172	393	1882
173	394	1874
174	395	1865
175	396	1857
176	397	1850
177	399	1843
178	400	1835
179	401	1826
180	402	1819
181	403	1811
182	404	1804
183	405	1796
184	406	1788
185	406	1780
186	407	1773
187	408	1766
188	409	1759
189	411	1752
190	412	1745
191	413	1739
192	414	1735
193	415	1728
194	416	1721
195	417	1714
196	418	1707
197	419	1700
198	421	1694
199	422	1688
200	423	1682
201	424	1675
202	425	1669
203	426	1662
204	427	1656
205	428	1650
206	429	1646
207	430	1640
208	431	1634
209	432	1628
210	433	1622
211	434	1615
212	435	1609
213	436	1603
